Unit_ID,Candidate_Number,Candidate_Name,Score
KK10_CONST_โนนศิลา_โนนศิลา_M4_U4,5,นายพชรกร อรรณนพพร,241
KK10_CONST_โนนศิลา_โนนศิลา_M4_U4,6,นายประยูร เทียมทะนง,1
KK10_CONST_โนนศิลา_โนนศิลา_M5_U5,1,นายวันนิวัติ สมบูรณ์,77
KK10_CONST_โนนศิลา_โนนศิลา_M5_U5,2,ร.ต.ท.สงวน คมขาว,3
KK10_CONST_โนนศิลา_โนนศิลา_M5_U5,3,นายนิวัตร สระพรม,46
KK10_CONST_โนนศิลา_โนนศิลา_M5_U5,4,นายวิระศักดิ์ สายทอง,1
KK10_CONST_โนนศิลา_โนนศิลา_M5_U5,5,นายพชรกร อรรณนพพร,237
KK10_CONST_โนนศิลา_โนนศิลา_M5_U5,6,นายประยูร เทียมทะนง,0
KK10_CONST_โนนศิลา_โนนศิลา_M1_U6,1,นายวันนิวัติ สมบูรณ์,228
KK10_CONST_โนนศิลา_โนนศิลา_M1_U6,2,ร.ต.ท.สงวน คมขาว,6
KK10_CONST_โนนศิลา_โนนศิลา_M1_U6,3,นายนิวัตร สระพรม,46
KK10_CONST_โนนศิลา_โนนศิลา_M1_U6,4,นายวิระศักดิ์ สายทอง,4
KK10_CONST_โนนศิลา_โนนศิลา_M1_U6,5,นายพชรกร อรรณนพพร,279
KK10_CONST_โนนศิลา_โนนศิลา_M1_U6,6,นายประยูร เทียมทะนง,3
KK10_CONST_โนนศิลา_โนนศิลา_M2_U7,1,นายวันนิวัติ สมบูรณ์,63
KK10_CONST_โนนศิลา_โนนศิลา_M2_U7,2,ร.ต.ท.สงวน คมขาว,0
KK10_CONST_โนนศิลา_โนนศิลา_M2_U7,3,นายนิวัตร สระพรม,37
KK10_CONST_โนนศิลา_โนนศิลา_M2_U7,4,นายวิระศักดิ์ สายทอง,0
KK10_CONST_โนนศิลา_โนนศิลา_M2_U7,5,นายพชรกร อรรณนพพร,258
KK10_CONST_โนนศิลา_โนนศิลา_M2_U7,6,นายประยูร เทียมทะนง,1
KK10_CONST_โนนศิลา_โนนศิลา_M2_U8,1,นายวันนิวัติ สมบูรณ์,99
KK10_CONST_โนนศิลา_โนนศิลา_M2_U8,2,ร.ต.ท.สงวน คมขาว,1
KK10_CONST_โนนศิลา_โนนศิลา_M2_U8,3,นายนิวัตร สระพรม,40
KK10_CONST_โนนศิลา_โนนศิลา_M2_U8,4,นายวิระศักดิ์ สายทอง,2
KK10_CONST_โนนศิลา_โนนศิลา_M2_U8,5,นายพชรกร อรรณนพพร,218
KK10_CONST_โนนศิลา_โนนศิลา_M2_U8,6,นายประยูร เทียมทะนง,1
KK10_CONST_โนนศิลา_โนนแดง_M1_U1,1,นายวันนิวัติ สมบูรณ์,100
KK10_CONST_โนนศิลา_โนนแดง_M1_U1,2,ร.ต.ท.สงวน คมขาว,0
KK10_CONST_โนนศิลา_โนนแดง_M1_U1,3,นายนิวัตร สระพรม,23
KK10_CONST_โนนศิลา_โนนแดง_M1_U1,4,นายวิระศักดิ์ สายทอง,1
KK10_CONST_โนนศิลา_โนนแดง_M1_U1,5,นายพชรกร อรรณนพพร,118
KK10_CONST_โนนศิลา_โนนแดง_M1_U1,6,นายประยูร เทียมทะนง,1
KK10_CONST_โนนศิลา_โนนแดง_M2_U2,1,นายวันนิวัติ สมบูรณ์,106
KK10_CONST_โนนศิลา_โนนแดง_M2_U2,2,ร.ต.ท.สงวน คมขาว,2
KK10_CONST_โนนศิลา_โนนแดง_M2_U2,3,นายนิวัตร สระพรม,18
KK10_CONST_โนนศิลา_โนนแดง_M2_U2,4,นายวิระศักดิ์ สายทอง,1
KK10_CONST_โนนศิลา_โนนแดง_M2_U2,5,นายพชรกร อรรณนพพร,114
KK10_CONST_โนนศิลา_โนนแดง_M2_U2,6,นายประยูร เทียมทะนง,0
KK10_CONST_โนนศิลา_โนนแดง_M3_U3,1,นายวันนิวัติ สมบูรณ์,127
KK10_CONST_โนนศิลา_โนนแดง_M3_U3,2,ร.ต.ท.สงวน คมขาว,1
KK10_CONST_โนนศิลา_โนนแดง_M3_U3,3,นายนิวัตร สระพรม,25
