Unit_ID,District,Subdistrict,Village_No,Unit_No,Latitude,Longitude,Eligible_Voters,Voters_Showed_Up,Allocated_Ballots,Used_Ballots,Valid_Ballots,Invalid_Ballots,No_Vote_Ballots,Remaining_Ballots
KK10_เปือยน้อย_สระแก้ว_M4_U9,เปือยน้อย,สระแก้ว,4,9,15.8333,102.9583,317,201.0,300.0,201.0,185.0,10.0,6.0,99.0
KK10_เปือยน้อย_เปือยน้อย_M1_U1,เปือยน้อย,เปือยน้อย,1,1,15.8667,102.9167,665,466.0,660.0,466.0,422.0,40.0,4.0,194.0
KK10_เปือยน้อย_เปือยน้อย_M2_U2,เปือยน้อย,เปือยน้อย,2,2,15.8667,102.9167,471,280.0,460.0,280.0,260.0,15.0,5.0,180.0
KK10_เปือยน้อย_เปือยน้อย_M3_U3,เปือยน้อย,เปือยน้อย,3,3,15.8667,102.9167,627,411.0,620.0,411.0,385.0,24.0,2.0,209.0
KK10_เปือยน้อย_เปือยน้อย_M4_U4,เปือยน้อย,เปือยน้อย,4,4,15.8667,102.9167,603,370.0,600.0,370.0,339.0,27.0,4.0,230.0
KK10_เปือยน้อย_เปือยน้อย_M5_U5,เปือยน้อย,เปือยน้อย,5,5,15.8667,102.9167,261,159.0,240.0,159.0,152.0,5.0,2.0,81.0
KK10_เปือยน้อย_เปือยน้อย_M0_U6,เปือยน้อย,เปือยน้อย,0,6,15.8667,102.9167,274,162.0,260.0,162.0,152.0,9.0,1.0,98.0
KK10_เปือยน้อย_เปือยน้อย_M7_U7,เปือยน้อย,เปือยน้อย,7,7,15.8667,102.9167,575,362.0,362.0,362.0,339.0,18.0,5.0,198.0
KK10_หนองสองห้อง_คึมชาด_M10_U10,หนองสองห้อง,คึมชาด,10,10,15.7833,102.8917,346,235.0,340.0,235.0,226.0,9.0,0.0,105.0
KK10_หนองสองห้อง_คึมชาด_M1_U1,หนองสองห้อง,คึมชาด,1,1,15.7833,102.8917,412,229.0,400.0,229.0,219.0,6.0,4.0,171.0
KK10_หนองสองห้อง_คึมชาด_M2_U2,หนองสองห้อง,คึมชาด,2,2,15.7833,102.8917,385,274.0,400.0,274.0,260.0,8.0,6.0,126.0
KK10_หนองสองห้อง_คึมชาด_M3_U3,หนองสองห้อง,คึมชาด,3,3,15.7833,102.8917,631,363.0,600.0,363.0,343.0,20.0,0.0,237.0
KK10_หนองสองห้อง_คึมชาด_M4_U4,หนองสองห้อง,คึมชาด,4,4,15.7833,102.8917,588,361.0,580.0,361.0,346.0,14.0,1.0,219.0
KK10_หนองสองห้อง_คึมชาด_M5_U5,หนองสองห้อง,คึมชาด,5,5,15.7833,102.8917,654,361.0,620.0,361.0,354.0,3.0,4.0,259.0
KK10_หนองสองห้อง_คึมชาด_M6_U6,หนองสองห้อง,คึมชาด,6,6,15.7833,102.8917,668,421.0,640.0,421.0,394.0,25.0,2.0,219.0
